
Solver will write file: ss_24F104.lp

Reading data files.[    0.03]
Creating Temoa model instance.[    0.18]
Solving.[    0.17]
Calculating reporting variables and formatting results.[    0.88]
Model name: Temoa
Objective function value (TotalCost): 36535.631200002914
Non-zero variable values:
   1488.0                  Costs[V_UndiscountedFixedCostsByProcess,utopia,TXG,1970]
   1440.0                  Costs[V_UndiscountedFixedCostsByProcess,utopia,TXG,1980]
   3268.8                  Costs[V_UndiscountedFixedCostsByProcess,utopia,TXG,2000]
   2236.8                  Costs[V_UndiscountedFixedCostsByProcess,utopia,TXG,2010]
   1289.8036858371474      Costs[V_UndiscountedInvestmentByProcess,utopia,E01,2000]
    226.69621274848063     Costs[V_UndiscountedInvestmentByProcess,utopia,E01,2010]
     69.70610902988119     Costs[V_UndiscountedInvestmentByProcess,utopia,E31,1990]
     10.997355379994747    Costs[V_UndiscountedInvestmentByProcess,utopia,E51,2010]
   2419.94191014742        Costs[V_UndiscountedInvestmentByProcess,utopia,RHE,2000]
   1633.4652999999998      Costs[V_UndiscountedInvestmentByProcess,utopia,RHO,1990]
   2185.097960954327       Costs[V_UndiscountedInvestmentByProcess,utopia,RHO,2010]
      8.420526836669994    Costs[V_UndiscountedInvestmentByProcess,utopia,SRE,1990]
   1628.64                 Costs[V_UndiscountedInvestmentByProcess,utopia,TXD,2000]
   3091.116790257803       Costs[V_UndiscountedInvestmentByProcess,utopia,TXD,2010]
   4739.76                 Costs[V_UndiscountedInvestmentByProcess,utopia,TXG,2000]
   3619.247297136021       Costs[V_UndiscountedInvestmentByProcess,utopia,TXG,2010]
      2.9335779            Costs[V_UndiscountedVariableCostsByProcess,utopia,E01,1960]
     20.758333829999998    Costs[V_UndiscountedVariableCostsByProcess,utopia,E01,1970]
     22.20702546           Costs[V_UndiscountedVariableCostsByProcess,utopia,E01,1980]
    133.38289358999998     Costs[V_UndiscountedVariableCostsByProcess,utopia,E01,2000]
     15.888584999999999    Costs[V_UndiscountedVariableCostsByProcess,utopia,E01,2010]
  14404.901232000004       Costs[V_UndiscountedVariableCostsByProcess,utopia,IMPDSL1,1990]
  11409.090900000003       Costs[V_UndiscountedVariableCostsByProcess,utopia,IMPGSL1,1990]
   4066.0503444            Costs[V_UndiscountedVariableCostsByProcess,utopia,IMPHCO1,1990]
